device,model,records,decode_total_us,decode_tokens,decode_us_per_token,ffn_pct,attn_pct
rpi4,qwen3-1.7b,8883,2432443.0,2,1216221.5,57.25000000000001,13.69
rpi4,qwen3-4b,6335,2683127.0,2,1341563.5,63.74,14.29
op11_cpu,qwen3-1.7b,8883,871285.0,2,435642.5,51.870000000000005,18.91
op11_cpu,qwen3-4b,6335,1062054.0,2,531027.0,62.75000000000001,18.189999999999998
op11_cpu,qwen3-8b,6335,1508447.0,2,754223.5,70.05999999999999,15.209999999999999
op11_cpu,qwen3-14b,7035,2979167.0,2,1489583.5,74.75999999999999,12.999999999999998
op11_gpu,qwen3-1.7b,8883,5456272.0,2,2728136.0,26.639999999999997,32.650000000000006
op11_gpu,qwen3-4b,6335,3717490.0,2,1858745.0,27.45,32.760000000000005
orin_cpu,qwen3-1.7b,8883,4407812.0,2,2203906.0,31.87,32.43
orin_gpu,qwen3-8b,6335,887255.0,2,443627.5,56.379999999999995,18.84
orin_gpu,qwen3-14b,12663,2172656.0,2,1086328.0,63.72,15.98
orin_gpu,qwen3-32b,11235,2508906.0,2,1254453.0,65.52,17.120000000000005
orin_gpu,qwen3-30b-a3b,15155,1171872.0,2,585936.0,2.74,20.56
orin_gpu,qwen3.5-27b,18285,2646911.0,2,1323455.5,47.57,2.88
orin_gpu,qwen3.5-35b-a3b,18645,1277151.0,2,638575.5,4.51,3.24
orin_gpu_part,qwen3.5-122b-a10b,22365,6927824.0,2,3463912.0,6.47,2.5799999999999996
op13_cpu,qwen3-1.7b,8883,361004.0,2,180502.0,49.8,27.590000000000003
op13_cpu,qwen3-4b,6335,439152.0,2,219576.0,57.03,22.959999999999997
op13_cpu,qwen3-8b,6335,771009.0,2,385504.5,63.47,19.620000000000005
orin_gpu,llama-3.1-8b,4995,878559.0,2,439279.5,59.88,20.279999999999998
orin_gpu,gemma-2-9b,7620,1364851.0,2,682425.5,48.190000000000005,24.630000000000006
orin_gpu,phi-3.5-mini,4675,480610.0,2,240305.0,48.05,12.950000000000001
orin_gpu,mistral-7b-v0.3,4995,794622.0,2,397311.0,59.64,24.069999999999997
op11_cpu,phi-3.5-mini,4675,480494.0,2,240247.0,60.160000000000004,2.6899999999999995
op11_cpu,llama-3.1-8b,4995,1229860.0,2,614930.0,68.64999999999999,15.209999999999999
op11_cpu,mistral-7b-v0.3,4995,1467953.0,2,733976.5,76.17999999999999,13.129999999999999
op11_cpu,gemma-2-9b,7620,1671217.0,2,835608.5,65.72,15.009999999999998
op13_cpu,phi-3.5-mini,4675,387534.0,2,193767.0,56.24,4.109999999999999
op13_cpu,llama-3.1-8b,4995,1085998.0,2,542999.0,70.61999999999999,13.81
op13_cpu,gemma-2-9b,7620,791587.0,2,395793.5,62.160000000000004,13.45
rpi4,phi-3.5-mini,4675,2541307.0,2,1270653.5,60.4,0.7600000000000001
