engine,engine_version,runtime,model,fmt,turn,ttft_ms
llama.cpp,6fdd0ac,cu12.2,qwen3-8b,gguf-q4km,1,18097.534665139392
llama.cpp,6fdd0ac,cu12.2,qwen3-8b,gguf-q4km,2,413.44841895624995
llama.cpp,6fdd0ac,cu12.2,qwen3-8b,gguf-q4km,3,387.67001614905894
llama.cpp,6fdd0ac,cu12.2,qwen3-8b,gguf-q4km,4,408.89299497939646
llama.cpp,6fdd0ac,cu12.2,qwen3-8b,gguf-q4km,5,405.6534341070801
llama.cpp,6fdd0ac,cu12.2,qwen3-8b,gguf-q4km,6,395.00045613385737
llama.cpp,6fdd0ac,cu12.2,qwen3-8b,gguf-q4km,7,411.38123208656907
llama.cpp,6fdd0ac,cu12.2,qwen3-8b,gguf-q4km,8,410.38245405070484
llama.cpp,6fdd0ac,cu12.2,qwen3-8b,gguf-q4km,9,411.94439586251974
llama.cpp,6fdd0ac,cu12.2,qwen3-8b,gguf-q4km,10,410.5795668438077
llama.cpp,6fdd0ac,cu12.2,qwen3-8b,gguf-q4km,11,409.1366911306977
llama.cpp,6fdd0ac,cu12.2,qwen3-8b,gguf-q4km,12,409.4853410497308
llama.cpp,6fdd0ac,cu12.2,qwen3-8b,gguf-q4km,13,409.7270769998431
llama.cpp,6fdd0ac,cu12.2,qwen3-8b,gguf-q4km,14,407.51782804727554
llama.cpp,6fdd0ac,cu12.2,qwen3-8b,gguf-q4km,15,409.99490418471396
llama.cpp,6fdd0ac,cu12.2,qwen3-8b,gguf-q4km,16,410.36493494175375
llama.cpp,6fdd0ac,cu12.2,qwen3-8b,gguf-q4km,17,408.11848011799157
llama.cpp,6fdd0ac,cu12.2,qwen3-8b,gguf-q4km,18,411.4281840156764
llama.cpp,6fdd0ac,cu12.2,qwen3-8b,gguf-q4km,19,407.7752069570124
llama.cpp,6fdd0ac,cu12.2,qwen3-8b,gguf-q4km,20,408.2623671274632
llama.cpp,6fdd0ac,cu12.2,qwen3.5-35b-a3b,gguf-q4km,1,29286.29190195352
llama.cpp,6fdd0ac,cu12.2,qwen3.5-35b-a3b,gguf-q4km,2,967.1289590187371
llama.cpp,6fdd0ac,cu12.2,qwen3.5-35b-a3b,gguf-q4km,3,971.2386070750654
llama.cpp,6fdd0ac,cu12.2,qwen3.5-35b-a3b,gguf-q4km,4,970.3863069880754
llama.cpp,6fdd0ac,cu12.2,qwen3.5-35b-a3b,gguf-q4km,5,976.1605029925704
llama.cpp,6fdd0ac,cu12.2,qwen3.5-35b-a3b,gguf-q4km,6,978.1391809228808
llama.cpp,6fdd0ac,cu12.2,qwen3.5-35b-a3b,gguf-q4km,7,979.5778268016875
llama.cpp,6fdd0ac,cu12.2,qwen3.5-35b-a3b,gguf-q4km,8,967.7937440574169
llama.cpp,6fdd0ac,cu12.2,qwen3.5-35b-a3b,gguf-q4km,9,971.3394269347191
llama.cpp,6fdd0ac,cu12.2,qwen3.5-35b-a3b,gguf-q4km,10,977.5144208688289
llama.cpp,6fdd0ac,cu12.2,qwen3.5-35b-a3b,gguf-q4km,11,979.2529889382422
llama.cpp,6fdd0ac,cu12.2,qwen3.5-35b-a3b,gguf-q4km,12,977.6770700700581
llama.cpp,6fdd0ac,cu12.2,qwen3.5-35b-a3b,gguf-q4km,13,972.4845751188695
llama.cpp,6fdd0ac,cu12.2,qwen3.5-35b-a3b,gguf-q4km,14,991.1758229136467
llama.cpp,6fdd0ac,cu12.2,qwen3.5-35b-a3b,gguf-q4km,15,973.9974630065262
llama.cpp,6fdd0ac,cu12.2,qwen3.5-35b-a3b,gguf-q4km,16,984.0786249842495
llama.cpp,6fdd0ac,cu12.2,qwen3.5-35b-a3b,gguf-q4km,17,977.0927450153977
llama.cpp,6fdd0ac,cu12.2,qwen3.5-35b-a3b,gguf-q4km,18,987.7670640125871
llama.cpp,6fdd0ac,cu12.2,qwen3.5-35b-a3b,gguf-q4km,19,979.1372769977897
llama.cpp,6fdd0ac,cu12.2,qwen3.5-35b-a3b,gguf-q4km,20,980.5079449433833
llama.cpp,6fdd0ac,cu12.6,qwen3-8b,gguf-q4km,1,17732.824319999963
llama.cpp,6fdd0ac,cu12.6,qwen3-8b,gguf-q4km,2,404.3463430000429
llama.cpp,6fdd0ac,cu12.6,qwen3-8b,gguf-q4km,3,376.6606750000392
llama.cpp,6fdd0ac,cu12.6,qwen3-8b,gguf-q4km,4,386.9093949999751
llama.cpp,6fdd0ac,cu12.6,qwen3-8b,gguf-q4km,5,385.8570750001036
llama.cpp,6fdd0ac,cu12.6,qwen3-8b,gguf-q4km,6,406.03538000004846
llama.cpp,6fdd0ac,cu12.6,qwen3-8b,gguf-q4km,7,402.4059219998435
llama.cpp,6fdd0ac,cu12.6,qwen3-8b,gguf-q4km,8,402.5794379999752
llama.cpp,6fdd0ac,cu12.6,qwen3-8b,gguf-q4km,9,403.6380099998951
llama.cpp,6fdd0ac,cu12.6,qwen3-8b,gguf-q4km,10,402.7013270001589
llama.cpp,6fdd0ac,cu12.6,qwen3-8b,gguf-q4km,11,403.7716930001807
llama.cpp,6fdd0ac,cu12.6,qwen3-8b,gguf-q4km,12,402.8777619998891
llama.cpp,6fdd0ac,cu12.6,qwen3-8b,gguf-q4km,13,402.9556999998931
llama.cpp,6fdd0ac,cu12.6,qwen3-8b,gguf-q4km,14,403.919692999807
llama.cpp,6fdd0ac,cu12.6,qwen3-8b,gguf-q4km,15,402.67443799984903
llama.cpp,6fdd0ac,cu12.6,qwen3-8b,gguf-q4km,16,403.77027899990026
llama.cpp,6fdd0ac,cu12.6,qwen3-8b,gguf-q4km,17,405.1429809999263
llama.cpp,6fdd0ac,cu12.6,qwen3-8b,gguf-q4km,18,403.330644000107
llama.cpp,6fdd0ac,cu12.6,qwen3-8b,gguf-q4km,19,402.05856300008236
llama.cpp,6fdd0ac,cu12.6,qwen3-8b,gguf-q4km,20,403.12579800001913
llama.cpp,6fdd0ac,cu12.6,qwen3.5-35b-a3b,gguf-q4km,1,28843.30669699966
llama.cpp,6fdd0ac,cu12.6,qwen3.5-35b-a3b,gguf-q4km,2,906.7013949998
llama.cpp,6fdd0ac,cu12.6,qwen3.5-35b-a3b,gguf-q4km,3,929.4456130000981
llama.cpp,6fdd0ac,cu12.6,qwen3.5-35b-a3b,gguf-q4km,4,918.0039289999513
llama.cpp,6fdd0ac,cu12.6,qwen3.5-35b-a3b,gguf-q4km,5,920.3761759999907
llama.cpp,6fdd0ac,cu12.6,qwen3.5-35b-a3b,gguf-q4km,6,908.1361860003199
llama.cpp,6fdd0ac,cu12.6,qwen3.5-35b-a3b,gguf-q4km,7,924.8548860000483
llama.cpp,6fdd0ac,cu12.6,qwen3.5-35b-a3b,gguf-q4km,8,912.8081089997977
llama.cpp,6fdd0ac,cu12.6,qwen3.5-35b-a3b,gguf-q4km,9,910.134516999733
llama.cpp,6fdd0ac,cu12.6,qwen3.5-35b-a3b,gguf-q4km,10,918.4483469998668
llama.cpp,6fdd0ac,cu12.6,qwen3.5-35b-a3b,gguf-q4km,11,925.3182120000929
llama.cpp,6fdd0ac,cu12.6,qwen3.5-35b-a3b,gguf-q4km,12,928.7519189997511
llama.cpp,6fdd0ac,cu12.6,qwen3.5-35b-a3b,gguf-q4km,13,917.1943420001298
llama.cpp,6fdd0ac,cu12.6,qwen3.5-35b-a3b,gguf-q4km,14,922.4717400002191
llama.cpp,6fdd0ac,cu12.6,qwen3.5-35b-a3b,gguf-q4km,15,921.3025330000164
llama.cpp,6fdd0ac,cu12.6,qwen3.5-35b-a3b,gguf-q4km,16,916.8999919997987
llama.cpp,6fdd0ac,cu12.6,qwen3.5-35b-a3b,gguf-q4km,17,915.623590999985
llama.cpp,6fdd0ac,cu12.6,qwen3.5-35b-a3b,gguf-q4km,18,921.3216839998495
llama.cpp,6fdd0ac,cu12.6,qwen3.5-35b-a3b,gguf-q4km,19,930.6218199999421
llama.cpp,6fdd0ac,cu12.6,qwen3.5-35b-a3b,gguf-q4km,20,922.040442999787
